iter	Passed	Remaining
0	16	5472
1	30	4912
2	47	5123
3	67	5399
4	83	5368
5	101	5406
6	121	5516
7	148	5882
8	164	5768
9	179	5655
10	193	5536
11	207	5419
12	226	5425
13	245	5463
14	261	5396
15	276	5331
16	290	5267
17	308	5261
18	322	5196
19	337	5147
20	351	5087
21	365	5039
22	382	5028
23	398	4994
24	412	4947
25	426	4903
26	440	4857
27	453	4811
28	468	4784
29	483	4752
30	497	4716
31	514	4707
32	528	4674
33	542	4643
34	557	4615
35	571	4588
36	586	4561
37	600	4534
38	616	4519
39	630	4495
40	649	4501
41	667	4495
42	681	4471
43	696	4448
44	711	4429
45	728	4421
46	743	4400
47	762	4398
48	778	4384
49	793	4363
50	809	4346
51	824	4329
52	841	4317
53	857	4302
54	874	4294
55	889	4272
56	904	4250
57	919	4233
58	936	4220
59	951	4202
60	967	4188
61	983	4173
62	999	4156
63	1016	4146
64	1036	4144
65	1054	4138
66	1069	4118
67	1085	4103
68	1101	4086
69	1117	4072
70	1135	4060
71	1185	4167
72	1212	4185
73	1226	4158
74	1241	4137
75	1255	4112
76	1271	4096
77	1286	4072
78	1302	4054
79	1317	4034
80	1332	4013
81	1347	3992
82	1363	3976
83	1379	3957
84	1394	3936
85	1410	3919
86	1429	3910
87	1445	3892
88	1460	3871
89	1474	3848
90	1488	3828
91	1504	3810
92	1517	3786
93	1533	3768
94	1548	3749
95	1566	3737
96	1580	3715
97	1595	3696
98	1610	3676
99	1623	3653
100	1638	3634
101	1654	3616
102	1667	3593
103	1680	3570
104	1696	3554
105	1711	3535
106	1723	3512
107	1736	3489
108	1750	3469
109	1766	3452
110	1780	3432
111	1792	3409
112	1808	3392
113	1821	3371
114	1835	3351
115	1848	3330
116	1864	3314
117	1879	3297
118	1894	3278
119	1907	3258
120	1921	3239
121	1935	3220
122	1950	3203
123	1965	3186
124	1979	3167
125	1992	3147
126	2006	3128
127	2021	3111
128	2035	3092
129	2048	3073
130	2062	3054
131	2077	3037
132	2093	3021
133	2107	3003
134	2122	2987
135	2137	2970
136	2152	2953
137	2168	2937
138	2181	2919
139	2195	2901
140	2212	2887
141	2228	2872
142	2242	2854
143	2257	2837
144	2272	2820
145	2285	2801
146	2299	2784
147	2312	2765
148	2325	2747
149	2339	2729
150	2353	2712
151	2369	2696
152	2384	2680
153	2397	2662
154	2411	2645
155	2425	2628
156	2439	2610
157	2453	2593
158	2467	2575
159	2481	2558
160	2495	2541
161	2509	2524
162	2522	2506
163	2535	2488
164	2550	2473
165	2564	2456
166	2579	2440
167	2594	2424
168	2610	2409
169	2624	2393
170	2638	2376
171	2652	2359
172	2669	2345
173	2683	2329
174	2700	2314
175	2714	2297
176	2727	2280
177	2743	2265
178	2758	2249
179	2771	2232
180	2786	2216
181	2800	2200
182	2815	2184
183	2829	2167
184	2842	2150
185	2856	2134
186	2871	2118
187	2886	2103
188	2902	2088
189	2915	2071
190	2930	2055
191	2944	2039
192	2959	2024
193	2974	2008
194	2988	1992
195	3006	1978
196	3018	1961
197	3032	1944
198	3046	1928
199	3059	1912
200	3072	1895
201	3086	1879
202	3100	1863
203	3115	1848
204	3132	1833
205	3146	1817
206	3161	1802
207	3175	1786
208	3190	1770
209	3204	1754
210	3219	1739
211	3234	1724
212	3248	1708
213	3263	1692
214	3276	1676
215	3292	1661
216	3306	1645
217	3322	1630
218	3336	1614
219	3350	1598
220	3366	1584
221	3381	1568
222	3395	1553
223	3410	1537
224	3425	1522
225	3441	1507
226	3455	1491
227	3468	1475
228	3482	1459
229	3496	1444
230	3510	1428
231	3524	1412
232	3539	1397
233	3554	1382
234	3568	1366
235	3583	1351
236	3596	1335
237	3610	1319
238	3625	1304
239	3640	1289
240	3654	1273
241	3667	1257
242	3682	1242
243	3696	1227
244	3712	1212
245	3728	1197
246	3743	1182
247	3758	1166
248	3771	1151
249	3786	1136
250	3802	1120
251	3815	1105
252	3829	1089
253	3843	1074
254	3857	1058
255	3871	1043
256	3890	1029
257	3906	1014
258	3919	998
259	3933	983
260	3947	968
261	3961	952
262	3976	937
263	3989	921
264	4002	906
265	4016	890
266	4030	875
267	4045	860
268	4059	845
269	4073	829
270	4087	814
271	4101	799
272	4114	783
273	4130	768
274	4148	754
275	4163	739
276	4178	724
277	4191	708
278	4207	693
279	4221	678
280	4236	663
281	4252	648
282	4267	633
283	4280	617
284	4294	602
285	4308	587
286	4321	572
287	4336	557
288	4352	542
289	4367	527
290	4383	512
291	4397	496
292	4411	481
293	4425	466
294	4440	451
295	4456	436
296	4469	421
297	4484	406
298	4498	391
299	4512	376
300	4526	360
301	4542	345
302	4556	330
303	4569	315
304	4582	300
305	4595	285
306	4608	270
307	4621	255
308	4636	240
309	4651	225
310	4665	210
311	4678	194
312	4692	179
313	4704	164
314	4718	149
315	4733	134
316	4747	119
317	4762	104
318	4774	89
319	4787	74
320	4800	59
321	4816	44
322	4830	29
323	4845	14
324	4859	0
