Model,Metric,Mean,CI Lower,CI Upper
Random Forest,ROC_AUC,0.860580967053957,0.8248212073701046,0.889917995073414
Random Forest,PR_AUC,0.5252353293480706,0.46194411697261195,0.5904328864499441
Random Forest,F1,0.4501682143732995,0.36457542857377256,0.5338285009478103
Random Forest,MCC,0.4700140905175929,0.4025368361674325,0.539960409640989
XGBoost,ROC_AUC,0.8511840540742694,0.8141639701110892,0.8856069704112639
XGBoost,PR_AUC,0.5267839051611821,0.45350191554799146,0.602401647452006
XGBoost,F1,0.4982250235813998,0.4274489496980029,0.5697517163175989
XGBoost,MCC,0.48394548874386195,0.41848041667285873,0.5490303323862169
CatBoost,ROC_AUC,0.8455400925102522,0.8075818706852627,0.8788087738062922
CatBoost,PR_AUC,0.5249634310882897,0.44989390049978417,0.5965483113107864
CatBoost,F1,0.48694180607729104,0.4108404557429315,0.5579584030814271
CatBoost,MCC,0.47599945836288754,0.4096983952957162,0.5412534719264986
Deep Neural Network,ROC_AUC,0.8246450201400611,0.7885375015986946,0.8580969046642839
Deep Neural Network,PR_AUC,0.48745279535008507,0.4226860107842673,0.5594115063116917
Deep Neural Network,F1,0.48171512284047296,0.41732292989017383,0.5484423966058122
Deep Neural Network,MCC,0.4404957282700282,0.37897700966786446,0.5055523708474914
GNN (GINE),ROC_AUC,0.8218914978878037,0.7864857723143986,0.8560728098976781
GNN (GINE),PR_AUC,0.4054589403063036,0.3064032412730913,0.5003525561193065
GNN (GINE),F1,0.42138873297727325,0.3440418328471747,0.4986118322057526
GNN (GINE),MCC,0.3857915126365989,0.31136400724697594,0.4586836862219559
Ensemble,ROC_AUC,0.8643056170987866,0.8296347467975763,0.8943471309654523
Ensemble,PR_AUC,0.5441724798197701,0.47177662518505137,0.6176476252384405
Ensemble,F1,0.5073130273064864,0.44006371685897794,0.5825579414108233
Ensemble,MCC,0.49521512218188546,0.4395692024023345,0.5562627008536376
