Endpoint,Mean_ROC_AUC,Mean_PR_AUC,Mean_F1,Mean_MCC,GNN Improvement,Ensemble Improvement,Difficulty Score
SR-MMP,0.9202694584130656,0.7449616439917003,0.6739542987264623,0.6221607665459599,-0.033726803435539354,0.001919140225179139,0.7403365419192971
NR-AR-LBD,0.8912225884349302,0.6591869138677476,0.6659576942047305,0.6636857747951098,-0.005808641169560036,0.010360918940086172,0.7200132428256296
NR-AhR,0.9059228650137742,0.6380272139658673,0.5944755254656204,0.5448170940006833,-0.014296958452802655,0.0050373868555686485,0.6708106746114862
SR-ARE,0.8561529541148544,0.5863368633298928,0.5463751655196623,0.4720369277266827,-0.025324484418214666,0.013450314684553155,0.615225477672773
NR-ER-LBD,0.8376136363636363,0.4879102451923007,0.5057204928814336,0.5037389972263079,-0.04814393939393935,-0.00040584415584421496,0.5837458429159196
NR-Aromatase,0.8520625566636445,0.49767210294145886,0.4691626686932191,0.4601474500349381,-0.054563312178905976,-0.009005741915986798,0.5697611945833152
NR-AR,0.7356898352285913,0.44829604960767216,0.4796290903261709,0.48221269469221945,-0.0069679740078905095,0.0004119285216986901,0.5364569174636634
SR-ATAD5,0.8923684332223457,0.459294348034788,0.36568043404005124,0.3911690189825241,-0.05383601553829087,0.0033504439511653494,0.5271280585699273
SR-p53,0.8871073409663314,0.42550698987881236,0.36250940512469737,0.3656790903657279,-0.040254021230241466,0.014045334445835,0.5102007065838923
SR-HSE,0.8192549076169765,0.3811390367560456,0.3815269815269815,0.38496336331488895,-0.06751764079350298,0.00017196999955626513,0.49172107230372314
NR-ER,0.7364881231442412,0.44352206634268826,0.41609681829658335,0.3572338417893875,-0.010762423816221167,0.0033022737927802526,0.4883352123932251
NR-PPAR-gamma,0.8021417983478686,0.2562802882384286,0.23041527950683371,0.25507778195128056,-0.13495164493567047,-0.0298225541835766,0.3859787870111029
